term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
imd,imd,imd,numeric,continuous,NA,NA,NA,NA,imd,0.9999719973820306,8.913719581693345e-6,9.487244933654672e-6,-2.951648265210964,0.0031608275790786975,0.9999534034172219,0.9999905916925909,NA,2 adjusting for time + demographics,covidadmitted
ethnicity_combinedWhite,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,TRUE,White,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,covidadmitted
ethnicity_combinedBlack,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Black,2.494935857773044,0.3462089820604849,0.3538656735836177,2.5836442718696824,0.009776256953373055,1.2469480987938097,4.9919519027479655,NA,2 adjusting for time + demographics,covidadmitted
ethnicity_combinedSouth Asian,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,3.240035924165706,0.22046275606734725,0.2337477614482378,5.029286313437322,4.923088065171528e-7,2.0491953902476494,5.122904745855217,NA,2 adjusting for time + demographics,covidadmitted
ethnicity_combinedMixed,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,2.4416603018220373,0.5127801147030656,0.5101466441940649,1.7498463816802734,0.08014482484438637,0.8983542596431122,6.636251752022727,NA,2 adjusting for time + demographics,covidadmitted
ethnicity_combinedOther,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Other,1.5316929011227323,0.5140148247429974,0.5167737619476201,0.8250681950864677,0.4093328751753056,0.5562795259591258,4.2174536970504235,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.22848597567587353,0.7207669089311032,0.7331666134281983,-2.0135674744195673,0.04405496417080064,0.05429839540041323,0.9614619492081451,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.6998189509365853,0.5154969127803143,0.5079492879479817,-0.7026953819609161,0.48224560623049306,0.2585940221117285,1.8938820011793711,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,3.6002736021843966,0.3409857163590818,0.33538971354264524,3.8194667023324174,1.3374051102449697e-4,1.8657406093732554,6.947359105261706,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.8112164596852116,0.6151799357970592,0.605466695772562,0.9810592405107107,0.3265635288170677,0.5528358146868751,5.933959010402939,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.9867602456680885,1.0349120207611473,1.0677796945798013,-0.01248214525397183,0.9900409476267785,0.12170710176025346,8.000320181389213,NA,2 adjusting for time + demographics,covidadmitted
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2.3724051445538383,0.5380116892461921,0.5501912768556497,1.5701889612266813,0.11637115690251996,0.806984500058668,6.974491045982097,NA,2 adjusting for time + demographics,covidadmitted
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",0.9865718052736067,0.05737018557532345,0.06221713062055674,-0.2172901277050315,0.8279822502608262,0.8733119084582875,1.114520387886492,NA,3 adjusting for time + demographics + clinical,covidadmitted
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",1.0004461824246866,6.414943188911102e-4,6.804674418297619e-4,0.6555536495729516,0.5121113565423504,0.9991127850444029,1.0017813593323672,NA,3 adjusting for time + demographics + clinical,covidadmitted
sexF,sex,sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidadmitted
sexM,sex,sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,M,1.7617452570824728,0.17483070809776555,0.1816308917613688,3.1178888985622484,0.0018215145443212647,1.2340666492061283,2.5150556923722225,NA,3 adjusting for time + demographics + clinical,covidadmitted
imd,imd,imd,numeric,continuous,NA,NA,NA,NA,imd,0.9999795577134405,9.013203817933517e-6,9.478309835572425e-6,-2.156765906634084,0.03102390881600539,0.9999609811198384,0.9999981346521459,NA,3 adjusting for time + demographics + clinical,covidadmitted
ethnicity_combinedWhite,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,TRUE,White,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidadmitted
ethnicity_combinedBlack,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Black,2.2636942246298544,0.34613118499327095,0.35312277108742496,2.313637517374388,0.020687613920180266,1.1330240152419218,4.522685727476325,NA,3 adjusting for time + demographics + clinical,covidadmitted
ethnicity_combinedSouth Asian,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,3.9481685619094633,0.22482646171092927,0.23889820021719718,5.748271920551989,9.016015989685785e-9,2.4719812331078503,6.305887271503468,NA,3 adjusting for time + demographics + clinical,covidadmitted
ethnicity_combinedMixed,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,2.469150153242101,0.5129078094994112,0.5105849109427312,1.7702717110320956,0.0766818882536744,0.9076885075686567,6.716734241338119,NA,3 adjusting for time + demographics + clinical,covidadmitted
ethnicity_combinedOther,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Other,1.8433867223557334,0.515102892575157,0.5162481398988605,1.1847103020454806,0.2361320078154371,0.6701703993548441,5.0704635887061755,NA,3 adjusting for time + demographics + clinical,covidadmitted
bmiNot obese,bmi,bmi,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidadmitted
bmiObese I (30-34.9),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),2.261147698559113,0.2165771376076313,0.21261889188128483,3.8372531640224397,1.2441819005337275e-4,1.4905529300052256,3.4301290559881354,NA,3 adjusting for time + demographics + clinical,covidadmitted
bmiObese II (35-39.9),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),2.9663389852434983,0.3099773922985349,0.30226037245165593,3.597324117408252,3.2150775574464754e-4,1.6403490976398496,5.3642038685763636,NA,3 adjusting for time + demographics + clinical,covidadmitted
bmiObese III (40+),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),4.830561119433967,0.31741133449000253,0.3304262750438445,4.766457009218465,1.8749371332927652e-6,2.527773905276451,9.23117399063235,NA,3 adjusting for time + demographics + clinical,covidadmitted
prior_covid_infection,prior_covid_infection,prior_covid_infection,numeric,continuous,NA,NA,NA,NA,prior_covid_infection,0.7295344056907609,0.3029076296112712,0.3027946498624587,-1.0414607685035864,0.2976617518592215,0.4030013540214573,1.3206418384843297,NA,3 adjusting for time + demographics + clinical,covidadmitted
psychosis_schiz_bipolar,psychosis_schiz_bipolar,psychosis_schiz_bipolar,numeric,continuous,NA,NA,NA,NA,psychosis_schiz_bipolar,0.6524180019751721,1.0137889837757652,1.0184584008624562,-0.41932966019177026,0.6749752228218902,0.08863649483484348,4.802189550640384,NA,3 adjusting for time + demographics + clinical,covidadmitted
multimorb0,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,TRUE,0,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidadmitted
multimorb1,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,1,1.3704000341273932,0.24336052881350928,0.235296419845596,1.3391733420244196,0.18051424867179058,0.8640973735523466,2.1733618351550192,NA,3 adjusting for time + demographics + clinical,covidadmitted
multimorb2,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,2,2.6522400718745147,0.3193916756569476,0.347447723585656,2.8073420168072705,0.004995217502498932,1.3423469918143334,5.240356958187968,NA,3 adjusting for time + demographics + clinical,covidadmitted
multimorb3+,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,3+,5.950591090378396e-7,1132.5021702506785,0.2894129584931246,-49.5299352456423,0,3.374514905324485e-7,1.0493222083274766e-6,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.21968965049453965,0.7207237964596032,0.7312035064227923,-2.0726643059462,0.03820353184417056,0.0524092620757892,0.9208971968469796,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.6642960979339798,0.5153886543311017,0.5088678368326655,-0.8037986853829294,0.4215132491305243,0.24502624998948172,1.8009878768060772,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,3.4209568743985357,0.3408544050692748,0.33521620428082205,3.6690359358245086,2.4346685781641747e-4,1.773417741871533,6.599091494451939,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.758478875996765,0.6154050398874599,0.6053735678770061,0.9323980931752976,0.35113082987379285,0.5368367524329271,5.7601271584199045,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.9259872538459084,1.034427649908677,1.06551220961259,-0.07216699018764901,0.9424690146677477,0.11472006160769964,7.47430207296487,NA,3 adjusting for time + demographics + clinical,covidadmitted
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2.261004895023228,0.5377205491597228,0.5479010854305308,1.4889719695188521,0.13649475012150183,0.7725511674216448,6.6172227172739255,NA,3 adjusting for time + demographics + clinical,covidadmitted
